day,alpha,prop_infected
54,0.6000000000000001,0.009397639728475961
55,0.6000000000000001,0.008279245279677867
56,0.6000000000000001,0.007293633827102936
57,0.6000000000000001,0.00642513667753989
58,0.6000000000000001,0.005659908765510519
59,0.6000000000000001,0.00498572269196162
60,0.6000000000000001,0.004391784490440764
61,0.6000000000000001,0.003868569209059567
62,0.6000000000000001,0.0034076744642062727
63,0.6000000000000001,0.0030016902191141526
64,0.6000000000000001,0.0026440831547150326
65,0.6000000000000001,0.0023290941229364447
66,0.6000000000000001,0.002051647297587855
67,0.6000000000000001,0.0018072697610147185
68,0.6000000000000001,0.0015920203829896
69,0.6000000000000001,0.0014024269601051425
70,0.6000000000000001,0.0012354306882302395
71,0.6000000000000001,0.001088337136917853
72,0.6000000000000001,0.0009587729829132477
73,0.6000000000000001,0.0008446478402629539
74,0.6000000000000001,0.0007441205972936774
75,0.6000000000000001,0.0006555697363476345
76,0.6000000000000001,0.0005775671711163369
77,0.6000000000000001,0.0005088551892251062
78,0.6000000000000001,0.00044832613490549365
79,0.6000000000000001,0.00039500450866035165
80,0.6000000000000001,0.0003480311982624152
81,0.6000000000000001,0.00030664958868932205
82,0.6000000000000001,0.000270193328111518
83,0.6000000000000001,0.00023807555320655015
84,0.6000000000000001,0.0002097794002324181
85,0.6000000000000001,0.00018484964877992096
86,0.6000000000000001,0.00016288536323413584
87,0.6000000000000001,0.0001435334129738827
88,0.6000000000000001,0.00012648276646367955
89,0.6000000000000001,0.00011145946685865138
90,0.6000000000000001,9.822220773965458e-05
91,0.6000000000000001,8.65584372932659e-05
92,0.6000000000000001,7.628092780023959e-05
93,0.6000000000000001,6.72247548306338e-05
94,0.6000000000000001,5.924463718295331e-05
95,0.6000000000000001,5.221259445368792e-05
96,0.6000000000000001,4.6015884275770174e-05
97,0.6000000000000001,4.055518580216804e-05
98,0.6000000000000001,3.574300000691484e-05
99,0.6000000000000001,3.1502240894686845e-05
100,0.6000000000000001,2.7764994808348884e-05
1,0.6200000000000001,0.001
2,0.6200000000000001,0.0015280268571428572
3,0.6200000000000001,0.002317535519656561
4,0.6200000000000001,0.0034974701087700792
5,0.6200000000000001,0.0052588613930307756
6,0.6200000000000001,0.00788290168141638
7,0.6200000000000001,0.01177945852024101
8,0.6200000000000001,0.017537049769869233
9,0.6200000000000001,0.025981270394006082
10,0.6200000000000001,0.03822846886976332
11,0.6200000000000001,0.055699959179079384
12,0.6200000000000001,0.08002429284765004
13,0.6200000000000001,0.11270661817773488
14,0.6200000000000001,0.15442797039888978
15,0.6200000000000001,0.2039713199886026
16,0.6200000000000001,0.25720943363812954
17,0.6200000000000001,0.30720484745572896
18,0.6200000000000001,0.34636528691651747
19,0.6200000000000001,0.36980084817610326
20,0.6200000000000001,0.3771360106009046
21,0.6200000000000001,0.3713744721843215
22,0.6200000000000001,0.35653760964128955
23,0.6200000000000001,0.33613043255737995
24,0.6200000000000001,0.3127249344600105
25,0.6200000000000001,0.28807648235540084
26,0.6200000000000001,0.2633462761293527
27,0.6200000000000001,0.23928567395591396
28,0.6200000000000001,0.2163651919518108
29,0.6200000000000001,0.19486178821867167
30,0.6200000000000001,0.17491855599072403
31,0.6200000000000001,0.15658639712532058
32,0.6200000000000001,0.1398536073545832
33,0.6200000000000001,0.12466707421248188
34,0.6200000000000001,0.11094749558718059
35,0.6200000000000001,0.09860026094272592
36,0.6200000000000001,0.08752315802641646
37,0.6200000000000001,0.07761174939783905
38,0.6200000000000001,0.0687630407277943
39,0.6200000000000001,0.060877902206625686
40,0.6200000000000001,0.053862586068256155
41,0.6200000000000001,0.04762959513008407
42,0.6200000000000001,0.042098091338281615
43,0.6200000000000001,0.037193983930756874
44,0.6200000000000001,0.03284979985269694
45,0.6200000000000001,0.029004411407103525
46,0.6200000000000001,0.025602675486395637
47,0.6200000000000001,0.0225950233713527
48,0.6200000000000001,0.019937028688273607
49,0.6200000000000001,0.017588972694761434
50,0.6200000000000001,0.015515419873339946
51,0.6200000000000001,0.01368481228863978
