recovery,day,prop_infected
10,36,0.27486463570252195
10,37,0.28859134241346884
10,38,0.29943542995878447
10,39,0.3071204287725514
10,40,0.3115357146174268
10,41,0.3127314511367766
10,42,0.31089678332411114
10,43,0.30632718038920664
10,44,0.29938759611969284
10,45,0.29047719317785275
10,46,0.2799995051137749
10,47,0.26833987372769996
10,48,0.25585034046303884
10,49,0.24284110637250922
10,50,0.22957717705681688
10,51,0.21627872608925833
10,52,0.20312387090138
10,53,0.1902528200059731
10,54,0.1777726294602912
10,55,0.16576205210412015
10,56,0.15427615752826807
10,57,0.14335054328551175
10,58,0.13300505592565914
10,59,0.12324700385757068
10,60,0.11407388223255653
10,61,0.10547565082469115
10,62,0.09743661522354358
10,63,0.0899369638538937
10,64,0.08295401135591994
10,65,0.07646319465709911
10,66,0.07043886288951688
10,67,0.06485489691060482
10,68,0.059685189004542234
10,69,0.05490400860043556
10,70,0.050486275637294756
10,71,0.04640775955313118
10,72,0.04264521875140315
10,73,0.03917649275587471
10,74,0.03598055704921149
10,75,0.03303754874454672
10,76,0.030328769708976144
10,77,0.027836672494644304
10,78,0.025544833393709533
10,79,0.023437916080793427
10,80,0.021501628608788216
10,81,0.019722675954311517
10,82,0.018088709845203273
10,83,0.016588277225536362
10,84,0.01521076840812455
10,85,0.013946365717605403
10,86,0.01278599322824146
10,87,0.011721268040878441
10,88,0.01074445341583222
10,89,0.009848413976935172
10,90,0.009026573121703673
10,91,0.00827287270960944
10,92,0.007581735051482765
10,93,0.006948027185470289
10,94,0.0063670273965233315
10,95,0.005834393915313177
10,96,0.00534613571729243
10,97,0.004898585332151017
10,98,0.004488373567176599
10,99,0.004112406044228245
11,0,0.001
11,1,0.001208790909090909
11,2,0.00146106677951019
11,3,0.0017658341315396962
11,4,0.002133941807263115
11,5,0.0025784471787627383
11,6,0.0031150502200805504
11,7,0.0037626057016076154
11,8,0.004543724171468916
11,9,0.005485472135294661
11,10,0.006620180496490238
11,11,0.007986367239541556
11,12,0.009629774630481362
11,13,0.011604511630735666
11,14,0.01397427711092792
11,15,0.016813616665773464
11,16,0.020209132744584715
11,17,0.024260521453549254
11,18,0.02908124683543918
11,19,0.03479858266246596
11,20,0.041552653201906126
11,21,0.04949399343344503
11,22,0.0587790399754002
11,23,0.06956288434196231
11,24,0.08198861673624677
11,25,0.09617272979390246
11,26,0.1121864238589103
