day,lambda,value,group
60,1.8,0.006664327798203341,misinformed
61,1.8,0.005848397358696937,misinformed
62,1.8,0.005132355665839741,misinformed
63,1.8,0.004504070646370182,misinformed
64,1.8,0.003952848977196305,misinformed
65,1.8,0.0034692752815655512,misinformed
66,1.8,0.003045066677461757,misinformed
67,1.8,0.0026729419352024015,misinformed
68,1.8,0.0023465043047117993,misinformed
69,1.8,0.0020601369722840768,misinformed
70,1.8,0.0018089100721290208,misinformed
71,1.8,0.0015884981881043648,misinformed
72,1.8,0.0013951073202795774,misinformed
73,1.8,0.0012254103482580423,misinformed
74,1.8,0.00107649009064686,misinformed
75,1.8,0.000945789132209059,misinformed
76,1.8,0.0008310656632864968,misinformed
77,1.8,0.0007303546475177564,misinformed
78,1.8,0.0006419337020701714,misinformed
79,1.8,0.0005642931385803522,misinformed
80,1.8,0.000496109672231576,misinformed
81,1.8,0.0004362233606860177,misinformed
82,1.8,0.0003836173839493357,misinformed
83,1.8,0.00033740032083291033,misinformed
84,1.8,0.00029679061774432586,misinformed
85,1.8,0.000261102981381783,misinformed
86,1.8,0.000229736458861528,misinformed
87,1.8,0.00020216399720516458,misinformed
88,1.8,0.00017792329928693375,misinformed
89,1.8,0.00015660881560744711,misinformed
90,1.8,0.00013786473091928418,misinformed
91,1.8,0.00012137882205938758,misinformed
92,1.8,0.000106877078598841,misinformed
93,1.8,9.411899133521316e-05,misinformed
94,1.8,8.289342543685897e-05,misinformed
95,1.8,7.301500539193963e-05,misinformed
96,1.8,6.432094798721574e-05,misinformed
97,1.8,5.6668287494335033e-05,misinformed
98,1.8,4.99314442090563e-05,misinformed
99,1.8,4.400009359105603e-05,misinformed
100,1.8,3.8777298594321304e-05,misinformed
1,2.0,0.001,misinformed
2,2.0,0.0011565428571428571,misinformed
3,2.0,0.001382266673049306,misinformed
4,2.0,0.001695097218308971,misinformed
5,2.0,0.002118718832313453,misinformed
6,2.0,0.002684150268449444,misinformed
7,2.0,0.003431723030387213,misinformed
8,2.0,0.004413523056350722,misinformed
9,2.0,0.00569633514243448,misinformed
10,2.0,0.007365076680480776,misinformed
11,2.0,0.009526600423020084,misinformed
12,2.0,0.012313551059619877,misinformed
13,2.0,0.015887630530381218,misinformed
14,2.0,0.020441106324281783,misinformed
15,2.0,0.02619463820281724,misinformed
16,2.0,0.03338850959502825,misinformed
17,2.0,0.04226328970791098,misinformed
18,2.0,0.05302529472225127,misinformed
19,2.0,0.06579294851905065,misinformed
20,2.0,0.08052384373097181,misinformed
21,2.0,0.09693070100210661,misinformed
22,2.0,0.11440784254872857,misinformed
23,2.0,0.13200431102722573,misinformed
24,2.0,0.14848481584636444,misinformed
25,2.0,0.1625010061270594,misinformed
26,2.0,0.17284797756567594,misinformed
27,2.0,0.1787246344698022,misinformed
28,2.0,0.17989427472134242,misinformed
29,2.0,0.1766824194254704,misinformed
30,2.0,0.16982976778040149,misinformed
31,2.0,0.16027982636227445,misinformed
32,2.0,0.14898570535915734,misinformed
33,2.0,0.1367828827448913,misinformed
34,2.0,0.1243323545050029,misinformed
35,2.0,0.11211499416128391,misinformed
36,2.0,0.10045373046168658,misinformed
37,2.0,0.08954582597736371,misinformed
38,2.0,0.07949501839886391,misinformed
39,2.0,0.07033897390731164,misinformed
40,2.0,0.062070844727413386,misinformed
41,2.0,0.05465532097776816,misinformed
42,2.0,0.048040143739161906,misinformed
43,2.0,0.042164120093345414,misinformed
44,2.0,0.0369625506610941,misinformed
45,2.0,0.03237079475154331,misinformed
46,2.0,0.028326521595386123,misinformed
47,2.0,0.024771049882794875,misinformed
48,2.0,0.021650064780553833,misinformed
49,2.0,0.018913917517853814,misinformed
50,2.0,0.016517651504147194,misinformed
51,2.0,0.01442085513313743,misinformed
52,2.0,0.012587410313902309,misinformed
53,2.0,0.010985183811349043,misinformed
54,2.0,0.009585693054503422,misinformed
55,2.0,0.008363767285439923,misinformed
56,2.0,0.007297217416239467,misinformed
57,2.0,0.006366522771030919,misinformed
58,2.0,0.005554539331170537,misinformed
59,2.0,0.004846231690255648,misinformed
60,2.0,0.0042284293199021505,misinformed
61,2.0,0.0036896067050815775,misinformed
62,2.0,0.003219686258090387,misinformed
63,2.0,0.002809862541729629,misinformed
64,2.0,0.0024524461392771693,misinformed
65,2.0,0.002140725440767857,misinformed
66,2.0,0.0018688446292756263,misinformed
67,2.0,0.0016316962173623117,misinformed
68,2.0,0.0014248265817361214,misinformed
69,2.0,0.0012443530590231576,misinformed
70,2.0,0.001086891287570307,misinformed
71,2.0,0.000949491602803957,misinformed
72,2.0,0.0008295834126126498,misinformed
73,2.0,0.0007249265918738026,misinformed
74,2.0,0.0006335690401088408,misinformed
75,2.0,0.0005538096426120874,misinformed
76,2.0,0.00048416596306966525,misinformed
77,2.0,0.0004233460748275127,misinformed
78,2.0,0.00037022400896568355,misinformed
79,2.0,0.0003238183607042828,misinformed
80,2.0,0.00028327365198856937,misinformed
81,2.0,0.0002478440979869806,misinformed
82,2.0,0.00021687946929351256,misinformed
83,2.0,0.00018981278044111273,misinformed
84,2.0,0.00016614956945876043,misinformed
